,open,high,low,close,adjclose,volume,ticker
2018-10-17,6542.330078125,6567.5400390625,6450.0400390625,6476.7099609375,6476.7099609375,3924080000.0,BTC-USD
2018-10-18,6478.06982421875,6493.68017578125,6445.31005859375,6465.41015625,6465.41015625,3578870000.0,BTC-USD
2018-10-19,6460.919921875,6497.72021484375,6449.0,6489.18994140625,6489.18994140625,3379130000.0,BTC-USD
2018-10-20,6490.08984375,6556.3798828125,6476.0,6482.35009765625,6482.35009765625,3253610000.0,BTC-USD
2018-10-21,6486.0498046875,6543.7998046875,6462.97998046875,6487.16015625,6487.16015625,3672860000.0,BTC-USD
2018-10-22,6472.35986328125,6506.009765625,6451.27001953125,6475.740234375,6475.740234375,3716150000.0,BTC-USD
2018-10-23,6478.89013671875,6521.990234375,6468.85986328125,6495.83984375,6495.83984375,3424670000.0,BTC-USD
2018-10-24,6484.64990234375,6504.64990234375,6447.02978515625,6476.2900390625,6476.2900390625,3230550000.0,BTC-USD
2018-10-25,6468.43994140625,6498.2900390625,6449.60986328125,6474.75,6474.75,3306050000.0,BTC-USD
2018-10-26,6480.83984375,6507.41015625,6453.52978515625,6480.3798828125,6480.3798828125,3393250000.0,BTC-USD
2018-10-27,6482.66015625,6502.27978515625,6447.91015625,6486.39013671875,6486.39013671875,3445190000.0,BTC-USD
2018-10-29,6492.35009765625,6503.60009765625,6306.990234375,6332.6298828125,6332.6298828125,4199910000.0,BTC-USD
2018-10-30,6337.0400390625,6364.990234375,6310.14013671875,6334.27001953125,6334.27001953125,3781100000.0,BTC-USD
2018-10-31,6336.990234375,6349.16015625,6316.8798828125,6317.60986328125,6317.60986328125,4191240000.0,BTC-USD
2018-11-01,6318.14013671875,6547.14013671875,6311.830078125,6377.77978515625,6377.77978515625,3789400000.0,BTC-USD
2018-11-02,6378.919921875,6396.85986328125,6327.3798828125,6388.43994140625,6388.43994140625,4234870000.0,BTC-USD
2018-11-03,6387.240234375,6400.06982421875,6342.3701171875,6361.259765625,6361.259765625,3658640000.0,BTC-USD
2018-11-04,6365.47021484375,6388.6298828125,6294.56982421875,6376.1298828125,6376.1298828125,4390020000.0,BTC-USD
2018-11-05,6363.6201171875,6480.58984375,6363.6201171875,6419.66015625,6419.66015625,4174800000.0,BTC-USD
2018-11-06,6433.3798828125,6463.5498046875,6408.16015625,6461.009765625,6461.009765625,4700040000.0,BTC-USD
2018-11-07,6468.5,6552.16015625,6468.31005859375,6530.14013671875,6530.14013671875,4941260000.0,BTC-USD
2018-11-08,6522.27001953125,6536.919921875,6438.52978515625,6453.72021484375,6453.72021484375,4665260000.0,BTC-USD
2018-11-09,6442.60009765625,6456.4599609375,6373.3701171875,6385.6201171875,6385.6201171875,4346820000.0,BTC-USD
2018-11-10,6386.1298828125,6437.27978515625,6385.31005859375,6409.22021484375,6409.22021484375,3705320000.0,BTC-USD
2018-11-11,6413.6298828125,6423.25,6350.169921875,6411.27001953125,6411.27001953125,3939060000.0,BTC-USD
2018-11-12,6411.759765625,6434.2099609375,6360.47021484375,6371.27001953125,6371.27001953125,4295770000.0,BTC-USD
2018-11-13,6373.18994140625,6395.27001953125,6342.669921875,6359.490234375,6359.490234375,4503800000.0,BTC-USD
2018-11-14,6351.240234375,6371.5498046875,5544.08984375,5738.35009765625,5738.35009765625,7398940000.0,BTC-USD
2018-11-15,5736.14990234375,5774.81982421875,5358.3798828125,5648.02978515625,5648.02978515625,7032140000.0,BTC-USD
2018-11-16,5645.31982421875,5657.02001953125,5498.93994140625,5575.5498046875,5575.5498046875,5279320000.0,BTC-USD
2018-11-17,5578.580078125,5578.580078125,5519.56005859375,5554.330078125,5554.330078125,4303150000.0,BTC-USD
2018-11-18,5559.740234375,5653.60986328125,5559.740234375,5623.5400390625,5623.5400390625,4159680000.0,BTC-USD
